indicateur_fossiles,annee,valeur_fossiles,indicateur_petrole,valeur_petrole,indicateur_renouvhx,valeur_renouvhx
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",1990,87.3286248442044,Production d’électricité à partir de sources pétrolières (% du total),64.353967594516,"Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)",0.0
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",1991,86.6811515480717,Production d’électricité à partir de sources pétrolières (% du total),66.9527430744161,"Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)",0.0
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",1992,90.0812840827246,Production d’électricité à partir de sources pétrolières (% du total),72.9190245910073,"Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)",0.0
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",1993,95.5297679112008,Production d’électricité à partir de sources pétrolières (% du total),69.949545913219,"Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)",0.0
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",1994,92.6765475152572,Production d’électricité à partir de sources pétrolières (% du total),67.0619006102877,"Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)",0.0
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",1995,94.9470724445915,Production d’électricité à partir de sources pétrolières (% du total),45.592127026133,"Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)",0.0
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",1996,84.3914499920242,Production d’électricité à partir de sources pétrolières (% du total),37.0234487159036,"Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)",0.0
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",1997,84.6759361436033,Production d’électricité à partir de sources pétrolières (% du total),37.5708085043773,"Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)",0.0
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",1998,86.2970388648982,Production d’électricité à partir de sources pétrolières (% du total),28.6782850092535,"Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)",0.0
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",1999,93.6021713842575,Production d’électricité à partir de sources pétrolières (% du total),40.0310197751066,"Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)",0.0
