indicateur,annee,valeur
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",1990,87.3286248442044
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",1991,86.6811515480717
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",1992,90.0812840827246
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",1993,95.5297679112008
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",1994,92.6765475152572
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",1995,94.9470724445915
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",1996,84.3914499920242
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",1997,84.6759361436033
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",1998,86.2970388648982
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",1999,93.6021713842575
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",2000,93.9205473062272
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",2001,92.8419513491958
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",2002,93.1473580571054
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",2003,89.9927614911328
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",2004,89.7248641304348
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",2005,91.7671391817586
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",2006,91.3005315258204
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",2007,92.0865077414598
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",2008,92.0591170460486
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",2009,84.6026261230131
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",2010,81.8857408267534
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",2011,88.8384933938079
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",2012,90.8055535468942
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",2013,80.0049571560088
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",2014,82.1025047644977
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",2015,80.435687970527
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",2016,80.1966335832737
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",2017,80.9677322165647
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",2018,77.3456910750677
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",2019,77.7623049219688
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",2020,78.270421410026
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",2021,77.8153708794436
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",2022,79.434483404335
"Production d'électricité à partir des sources en pétrole, gaz et charbon (% du total)",2023,76.0334927135046
