indicateur,annee,valeur
Production d’électricité à partir de sources pétrolières (% du total),1990,64.353967594516
Production d’électricité à partir de sources pétrolières (% du total),1991,66.9527430744161
Production d’électricité à partir de sources pétrolières (% du total),1992,72.9190245910073
Production d’électricité à partir de sources pétrolières (% du total),1993,69.949545913219
Production d’électricité à partir de sources pétrolières (% du total),1994,67.0619006102877
Production d’électricité à partir de sources pétrolières (% du total),1995,45.592127026133
Production d’électricité à partir de sources pétrolières (% du total),1996,37.0234487159036
Production d’électricité à partir de sources pétrolières (% du total),1997,37.5708085043773
Production d’électricité à partir de sources pétrolières (% du total),1998,28.6782850092535
Production d’électricité à partir de sources pétrolières (% du total),1999,40.0310197751066
Production d’électricité à partir de sources pétrolières (% du total),2000,25.6394309259115
Production d’électricité à partir de sources pétrolières (% du total),2001,15.4858434135318
Production d’électricité à partir de sources pétrolières (% du total),2002,17.5516901870692
Production d’électricité à partir de sources pétrolières (% du total),2003,19.1096634093377
Production d’électricité à partir de sources pétrolières (% du total),2004,18.851902173913
Production d’électricité à partir de sources pétrolières (% du total),2005,17.4393381425617
Production d’électricité à partir de sources pétrolières (% du total),2006,16.1359535768274
Production d’électricité à partir de sources pétrolières (% du total),2007,16.9820594740723
Production d’électricité à partir de sources pétrolières (% du total),2008,23.0147792615121
Production d’électricité à partir de sources pétrolières (% du total),2009,20.4837595024188
Production d’électricité à partir de sources pétrolières (% du total),2010,23.4936452307562
Production d’électricité à partir de sources pétrolières (% du total),2011,26.7994478406626
Production d’électricité à partir de sources pétrolières (% du total),2012,25.518837226119
Production d’électricité à partir de sources pétrolières (% du total),2013,16.7905955668862
Production d’électricité à partir de sources pétrolières (% du total),2014,9.21249659678737
Production d’électricité à partir de sources pétrolières (% du total),2015,7.08313310908217
Production d’électricité à partir de sources pétrolières (% du total),2016,8.9667403005507
Production d’électricité à partir de sources pétrolières (% du total),2017,10.5239372118948
Production d’électricité à partir de sources pétrolières (% du total),2018,3.4867814968873
Production d’électricité à partir de sources pétrolières (% du total),2019,1.9015606242497
Production d’électricité à partir de sources pétrolières (% du total),2020,1.72009187138007
Production d’électricité à partir de sources pétrolières (% du total),2021,3.2306571744085
Production d’électricité à partir de sources pétrolières (% du total),2022,9.79823041992416
Production d’électricité à partir de sources pétrolières (% du total),2023,4.18201368076685
