"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","16640000","106250000","112590000","135340000","151270000","161320000","176080000","149690000","143760000","150350000","156930000","156930000","156930000","","","",
"","AFE","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2587000000","-2652000000","-2257000000","-2437000000","-2774000000","-2457000000","-3387000000","-3805000000","-3435000000","-3786000000","1225740000","2104140000","433290000","1038180000","1784070000","2136840000","1958020000","3116060000","2133720000","3269320000","2428070000","3696000000","2431370000","3926370000","5755070000","9462680000","9241070000","14431870000","15506080000","20345580000","17522970000","19435130000","","","",
"Afghanistan","AFG","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","180000","210000","28490000","29760000","32440000","33440000","38660000","39470000","38680000","55580000","65720000","77910000","","","",
"","AFW","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36000000","36000000","29000000","1000000","-25000000","-46000000","-27000000","-14000000","-29000000","-75000000","1022350000","686750000","-1451150000","845820000","41070000","5545450000","4416700000","1826010000","2020630000","3165110000","1109570000","-340250000","16850000","1083580000","609740000","-87520000","-375430000","233270000","403990000","701790000","1254370000","1404060000","","","",
"Angola","AGO","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","-11710000","-6590000","-12600000","-10280000","-23660000","-21700000","-3730000","392210000","35130000","66600000","-17410000","35920000","-1629160000","-1081400000","85410000","-196590000","79620000","1391800000","1149570000","2014260000","1603650000","2902750000","","","",
"Albanie","ALB","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","140000","270000","270000","270000","270000","270000","270000","270000","410000","540000","770000","920000","1030000","1630000","1430000","1060000","2180000","1480000","23050000","33170000","41710000","","","",
"Andorre","AND","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1000000","1000000","4000000","19000000","15700000","19000000","12700000","12300000","11680000","12900000","13590000","14050000","14420000","17510000","21070000","22260000","20770000","18160000","","","",
"Le monde arabe","ARB","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000","1000000","1000000","1000000","1000000","61000000","0","168000000","1000000","27000000","636220000","855130000","1068230000","799120000","1513710000","144160000","188830000","-2257850000","2572450000","3848640000","2365140000","4331260000","3723470000","3534500000","4816530000","6546780000","9528780000","11043010000","14238340000","19396170000","28572290000","33578560000","","","",
"Émirats arabes unis","ARE","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6410000","18420000","22400000","23730000","86200000","307170000","305980000","321640000","750480000","1203930000","3663310000","5194710000","6262190000","","","",
"Argentine","ARG","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4692000000","-4252000000","-5026000000","-6225000000","-7105000000","-6795000000","-5457000000","-6757000000","-6318000000","-5133000000","-6655690000","-8791390000","-8286590000","-7427470000","-6556160000","-7171090000","-8294910000","-6386440000","-5968860000","-6677490000","-6297520000","-5707590000","-4110680000","-4899200000","-5853200000","-5531080000","-4325730000","-4506460000","-3952390000","2097910000","8877220000","13880960000","","","",
"Arménie","ARM","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","100000","-300000","-500000","-100000","15600000","-100000","300000","2400000","1900000","4700000","7100000","5300000","-6900000","4200000","4600000","3300000","2370000","2500000","21500000","27800000","58800000","165700000","","","",
"Samoa américaines","ASM","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","270000","1410000","2420000","2360000","2490000","3130000","7740000","7980000","7430000","6830000","6830000","","","",
"Antigua-et-Barbuda","ATG","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","160000","160000","470000","470000","630000","630000","5360000","5450000","6470000","10250000","13710000","16980000","20250000","","","",
"Australie","AUS","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18000000","487000000","251000000","267000000","393000000","392000000","631000000","655000000","715000000","835000000","1230100000","1599100000","1997100000","2345100000","2573100000","4794100000","5716000000","6674000000","7817000000","6800000000","8219000000","9579000000","12339000000","14588000000","17774000000","20099000000","22130000000","24171000000","28613000000","36056000000","44782000000","55600000000","","","",
"Autriche","AUT","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128000000","-96000000","55000000","293000000","167000000","790000000","268000000","695000000","777000000","621000000","1598330000","1777400000","1667700000","2098290000","3010180000","3790430000","5012940000","6123840000","6201760000","6281910000","6635360000","6671170000","7481030000","8474930000","9179670000","10425710000","11111390000","12761730000","12415750000","13807700000","13426530000","13864130000","","","",
"Azerbaïdjan","AZE","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230000","330000","2630000","1190000","0","200000","137400000","178750000","191480000","232810000","230000000","284200000","346300000","344200000","340100000","","","",
"Burundi","BDI","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4030000","4250000","4330000","4120000","4210000","4300000","3990000","5550000","4850000","5940000","4680000","5720000","6320000","7500000","6450000","6900000","8970000","9550000","8630000","8390000","8820000","7890000","","","",
"Belgique","BEL","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-342000000","-443000000","-539000000","-513000000","-584000000","-562000000","-639000000","-689000000","-738000000","-639000000","584000000","634000000","778000000","945000000","1179110000","1818340000","2593220000","3096910000","4006960000","5111010000","6318700000","8138200000","10164600000","11351400000","11927100000","14142700000","13890200000","15540600000","16897000000","19182700000","23200000000","22307400000","","","",
"Bénin","BEN","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","-370000","-430000","-480000","-310000","490000","-250000","0","0","0","0","0","0","0","0","500000","2710000","340000","4410000","5410000","5410000","5340000","2830000","","","",
"Burkina Faso","BFA","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","270000","-220000","-240000","-110000","-540000","-530000","670000","420000","-70000","300000","-260000","150000","750000","1390000","3220000","4860000","5590000","16580000","84940000","99580000","97560000","106920000","","","",
"Bangladesh","BGD","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","622010000","300010000","459070000","360120000","300910000","229400000","186010000","-7370000","-262810000","195600000","126280000","77730000","221170000","34240000","222230000","479730000","236360000","316850000","167710000","436050000","381910000","742190000","","","",
"Bulgarie","BGR","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","-182000000","-228000000","-229000000","0","0","0","0","810000","4490000","20030000","46860000","137690000","248000000","731190000","1017870000","2065310000","2876040000","2786860000","3104720000","3165800000","3303950000","4234610000","4555840000","4645460000","5489200000","","","",
"Bahreïn","BHR","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1200000","1200000","1200000","1200000","2030000","2030000","9450000","9450000","9450000","9450000","9450000","11200000","11200000","12840000","","","",
"Bahamas","BHS","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","150000","150000","310000","460000","1420000","1740000","2050000","3260000","3620000","4030000","4110000","4040000","4680000","5350000","8460000","","","",
"Bosnie-Herzégovine","BIH","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","120000","230000","350000","350000","350000","350000","350000","350000","1150000","1210000","2350000","9110000","10280000","25060000","27800000","132000000","292000000","320000000","496000000","","","",
"Bélarus","BLR","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1000000","1000000","1290000","1370000","1340000","1200000","3590000","15250000","34720000","61130000","85420000","96870000","100380000","128260000","133910000","174110000","250010000","349000000","450310000","663000000","948000000","926600000","","","",
"Belize","BLZ","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16640000","15450000","17300000","16440000","17900000","13980000","17640000","18040000","14740000","15180000","77780000","94050000","93560000","77950000","97420000","121870000","115040000","120560000","137730000","173020000","280030000","280060000","","","",
"Bermudes","BMU","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivie","BOL","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32000000","37000000","41000000","43000000","44000000","45000000","47000000","48000000","50000000","52000000","-13970000","31200000","16050000","16130000","51060000","51620000","47780000","75060000","99590000","119980000","110820000","125030000","126090000","140280000","161090000","197040000","216600000","189720000","355160000","475880000","641020000","925780000","","","",
"Brésil","BRA","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3859000000","3999000000","4899000000","4954000000","5388000000","5594000000","6754000000","7383000000","7510000000","8368000000","7856640000","9025410000","10287350000","11955460000","12535970000","13735750000","15083120000","18726350000","20969660000","24113940000","34120190000","35333460000","40817810000","47555440000","59306270000","71570400000","84921090000","96132140000","106343160000","117602450000","126600640000","144848630000","","","",
"Barbade","BRB","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","160000","160000","160000","160000","310000","310000","930000","930000","1240000","1550000","2640000","3420000","4350000","10100000","13990000","14070000","24410000","26200000","39260000","64060000","87920000","","","",
